feature,corpus_a,corpus_b,ks,p_value
regex_match_ratio,ai4privacy,secretbench,0.5633333333333334,3.247471900779733e-71
regex_match_ratio,ai4privacy,synthetic,0.5146236559139785,1.2046871510707683e-220
regex_match_ratio,detect_secrets,gitleaks,0.49333333333333335,1.6652906107870808e-33
regex_match_ratio,detect_secrets,nemotron,0.5030769230769231,6.506140864184793e-61
regex_match_ratio,detect_secrets,secretbench,0.5,1.8916976044931988e-34
regex_match_ratio,detect_secrets,synthetic,0.6446236559139785,7.781161833194901e-112
regex_match_ratio,gitleaks,nemotron,0.5666666666666667,1.7638014966253793e-78
regex_match_ratio,gitleaks,secretbench,0.5,1.8916976044931988e-34
regex_match_ratio,gitleaks,synthetic,0.660752688172043,2.8700223456865443e-118
regex_match_ratio,nemotron,secretbench,0.5666666666666667,1.7638014966253793e-78
regex_match_ratio,nemotron,synthetic,0.4764185277088503,1.0896304170154051e-263
regex_match_ratio,secretbench,synthetic,0.6846774193548387,2.581963443490213e-128
heuristic_distinct_ratio,ai4privacy,detect_secrets,1.0,1e-323
heuristic_distinct_ratio,ai4privacy,gitleaks,0.98,9.992797774110997e-289
heuristic_distinct_ratio,ai4privacy,nemotron,0.4430769230769231,8.34410505203917e-132
heuristic_distinct_ratio,ai4privacy,secretbench,0.7666666666666667,4.9440869419130555e-142
heuristic_distinct_ratio,ai4privacy,synthetic,0.8924731182795699,0.0
heuristic_distinct_ratio,detect_secrets,gitleaks,0.8266666666666667,5.483671984333691e-104
heuristic_distinct_ratio,detect_secrets,nemotron,1.0,1e-323
heuristic_distinct_ratio,detect_secrets,secretbench,1.0,1.4802978791996799e-179
heuristic_distinct_ratio,detect_secrets,synthetic,0.8387096774193549,1.3761096185472368e-212
heuristic_distinct_ratio,gitleaks,nemotron,0.9271794871794872,3.448517800679702e-263
heuristic_distinct_ratio,gitleaks,secretbench,0.8133333333333334,5.548916028013657e-100
heuristic_distinct_ratio,gitleaks,synthetic,0.6510752688172043,2.235313393924241e-114
heuristic_distinct_ratio,nemotron,secretbench,0.5697435897435897,2.113607050448963e-79
heuristic_distinct_ratio,nemotron,synthetic,0.6055086848635236,2.21e-321
heuristic_distinct_ratio,secretbench,synthetic,0.1721505376344086,1.161029925329239e-07
heuristic_avg_length,ai4privacy,detect_secrets,0.7316666666666667,3.3577407605697883e-127
heuristic_avg_length,ai4privacy,gitleaks,1.0,1e-323
heuristic_avg_length,ai4privacy,nemotron,0.27897435897435896,2.102486821642009e-51
heuristic_avg_length,ai4privacy,secretbench,1.0,1e-323
heuristic_avg_length,ai4privacy,synthetic,0.29838709677419356,7.482234068462006e-72
heuristic_avg_length,detect_secrets,gitleaks,0.9866666666666667,7.913916489306876e-170
heuristic_avg_length,detect_secrets,nemotron,0.4646153846153846,1.4336809098368876e-51
heuristic_avg_length,detect_secrets,secretbench,0.5066666666666667,2.0740263259827226e-35
heuristic_avg_length,detect_secrets,synthetic,0.5698924731182796,3.3858033478389715e-85
heuristic_avg_length,gitleaks,nemotron,0.9871794871794872,5e-323
heuristic_avg_length,gitleaks,secretbench,0.98,9.354776884793349e-166
heuristic_avg_length,gitleaks,synthetic,1.0,1e-323
heuristic_avg_length,nemotron,secretbench,0.9230769230769231,2.979679454430891e-259
heuristic_avg_length,nemotron,synthetic,0.21659222497932176,4.689218008426973e-53
heuristic_avg_length,secretbench,synthetic,0.9032258064516129,5.3682888548010944e-266
has_column_name_hit,ai4privacy,detect_secrets,0.25,1.216722398658735e-13
has_column_name_hit,ai4privacy,gitleaks,0.25,1.216722398658735e-13
has_column_name_hit,ai4privacy,nemotron,0.0,1.0
has_column_name_hit,ai4privacy,secretbench,0.25,1.216722398658735e-13
has_column_name_hit,ai4privacy,synthetic,0.0,1.0
has_column_name_hit,detect_secrets,gitleaks,0.0,1.0
has_column_name_hit,detect_secrets,nemotron,0.25,8.972010506433872e-15
has_column_name_hit,detect_secrets,secretbench,0.0,1.0
has_column_name_hit,detect_secrets,synthetic,0.25,9.255812884057881e-16
has_column_name_hit,gitleaks,nemotron,0.25,8.972010506433872e-15
has_column_name_hit,gitleaks,secretbench,0.0,1.0
has_column_name_hit,gitleaks,synthetic,0.25,9.255812884057881e-16
has_column_name_hit,nemotron,secretbench,0.25,8.972010506433872e-15
has_column_name_hit,nemotron,synthetic,0.0,1.0
has_column_name_hit,secretbench,synthetic,0.25,9.255812884057881e-16
has_secret_indicators,ai4privacy,detect_secrets,0.5,2.5165319401011584e-55
has_secret_indicators,ai4privacy,gitleaks,0.9533333333333334,1.500416470557458e-258
has_secret_indicators,ai4privacy,nemotron,0.0,1.0
has_secret_indicators,ai4privacy,secretbench,1.0,1e-323
has_secret_indicators,ai4privacy,synthetic,0.0,1.0
has_secret_indicators,detect_secrets,gitleaks,0.4533333333333333,3.7426231712855422e-28
has_secret_indicators,detect_secrets,nemotron,0.5,3.935365737827506e-60
has_secret_indicators,detect_secrets,secretbench,0.5,1.8916976044931988e-34
has_secret_indicators,detect_secrets,synthetic,0.5,2.1543002004567615e-64
has_secret_indicators,gitleaks,nemotron,0.9533333333333334,1.0758447257508135e-291
has_secret_indicators,gitleaks,secretbench,0.04666666666666667,0.9003231885744891
has_secret_indicators,gitleaks,synthetic,0.9533333333333334,3.2e-322
has_secret_indicators,nemotron,secretbench,1.0,1e-323
has_secret_indicators,nemotron,synthetic,0.0,1.0
has_secret_indicators,secretbench,synthetic,1.0,1e-323
primary_is_pii,ai4privacy,detect_secrets,0.74,1.3044481367151226e-130
primary_is_pii,ai4privacy,gitleaks,0.62,1.2716931018607546e-87
primary_is_pii,ai4privacy,nemotron,0.14,3.7157685663968837e-13
primary_is_pii,ai4privacy,secretbench,0.7866666666666666,3.781426618292844e-151
primary_is_pii,ai4privacy,synthetic,0.44763440860215054,9.469249231321586e-165
primary_is_pii,detect_secrets,gitleaks,0.12,0.026515154829730034
primary_is_pii,detect_secrets,nemotron,0.6,7.745229190485488e-89
primary_is_pii,detect_secrets,secretbench,0.04666666666666667,0.9003231885744891
primary_is_pii,detect_secrets,synthetic,0.29236559139784946,1.7284299066443623e-21
primary_is_pii,gitleaks,nemotron,0.48,3.3852131962901666e-55
primary_is_pii,gitleaks,secretbench,0.16666666666666666,0.0004688948594180668
primary_is_pii,gitleaks,synthetic,0.17236559139784946,1.1135341256694703e-07
primary_is_pii,nemotron,secretbench,0.6466666666666666,8.149129057735209e-105
primary_is_pii,nemotron,synthetic,0.3076344086021505,1.8064322479677836e-107
primary_is_pii,secretbench,synthetic,0.33903225806451615,6.386036305037646e-29
primary_is_credential,ai4privacy,detect_secrets,0.3541666666666667,2.9385616421063317e-27
primary_is_credential,ai4privacy,gitleaks,0.6608333333333334,6.996685391057775e-101
primary_is_credential,ai4privacy,nemotron,0.009551282051282051,0.9999997142985532
primary_is_credential,ai4privacy,secretbench,0.9008333333333334,9.072573658589116e-216
primary_is_credential,ai4privacy,synthetic,0.059166666666666666,0.0033233441277880824
primary_is_credential,detect_secrets,gitleaks,0.30666666666666664,7.411265830324788e-13
